Year,TP,WWTP,YearStart
1985-86,15924,776,1985
1986-87,NA,987,1986
1987-88,NA,1146,1987
1988-89,NA,1231,1988
1989-90,NA,1260,1989
1990-91,16816,1219,1990
1991-92,NA,1580,1991
1992-93,NA,1722,1992
1993-94,NA,1749,1993
1994-95,13786,2056,1994
1995-96,NA,2226,1995
1996-97,NA,2240,1996
1997-98,NA,2561,1997
1998-99,NA,3357,1998
1999-00,17599,3257,1999
2000-01,NA,3793,2000
2001-02,NA,4855,2001
2002-03,NA,4855,2002
2003-04,NA,5377,2003
2004-05,19598,6768,2004
2005-06,NA,5779,2005
2006-07,NA,5556,2006
2007-08,NA,6932,2007
2008-09,NA,8029,2008
2009-10,21596,7636,2009
2010-11,NA,8310,2010
2011-12,NA,NA,2011
2012-13,NA,NA,2012
2013-14,NA,NA,2013
2014-15,24847,9157,2014